# /home/xozidok/work/codes/contra/contra 0 1 1 1 0 9.86 0 0.065 0.0134 0 1
# Standard model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=9.86
# Baryon distribution: Exponential model, fb=0.065 rb=0.0134
# Tracer population: Exponential model with isotropic velocity distribution
# los velocity dispersion integrated out to 3 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.995e-02 9.929e-03 9.623e-03 2.825e-02 1.714e+02 3.992e+02 1.329 1.889 1.687e+00 1.041e+00
2.239e-02 1.124e-02 1.179e-02 3.314e-02 1.468e+02 3.199e+02 1.362 1.959 1.710e+00 1.006e+00
2.512e-02 1.274e-02 1.441e-02 3.865e-02 1.252e+02 2.543e+02 1.397 2.028 1.728e+00 9.686e-01
2.818e-02 1.446e-02 1.757e-02 4.481e-02 1.064e+02 2.005e+02 1.435 2.095 1.739e+00 9.594e-01
3.162e-02 1.644e-02 2.134e-02 5.165e-02 8.999e+01 1.570e+02 1.475 2.156 1.743e+00 9.181e-01
3.548e-02 1.874e-02 2.584e-02 5.918e-02 7.575e+01 1.221e+02 1.518 2.208 1.740e+00 8.748e-01
3.981e-02 2.141e-02 3.117e-02 6.744e-02 6.343e+01 9.447e+01 1.564 2.248 1.730e+00 8.073e-01
4.467e-02 2.453e-02 3.746e-02 7.644e-02 5.284e+01 7.281e+01 1.612 2.274 1.715e+00 7.654e-01
5.012e-02 2.820e-02 4.484e-02 8.623e-02 4.376e+01 5.600e+01 1.661 2.284 1.695e+00 7.238e-01
5.623e-02 3.254e-02 5.345e-02 9.686e-02 3.604e+01 4.306e+01 1.713 2.278 1.670e+00 6.828e-01
6.310e-02 3.770e-02 6.343e-02 1.084e-01 2.950e+01 3.316e+01 1.767 2.258 1.642e+00 6.432e-01
7.079e-02 4.385e-02 7.494e-02 1.210e-01 2.399e+01 2.561e+01 1.822 2.232 1.612e+00 6.045e-01
7.943e-02 5.119e-02 8.811e-02 1.348e-01 1.939e+01 1.984e+01 1.878 2.204 1.581e+00 5.674e-01
8.913e-02 5.991e-02 1.031e-01 1.498e-01 1.557e+01 1.541e+01 1.935 2.182 1.550e+00 5.320e-01
1.000e-01 7.020e-02 1.200e-01 1.664e-01 1.242e+01 1.199e+01 1.993 2.173 1.520e+00 4.984e-01
1.122e-01 8.218e-02 1.391e-01 1.846e-01 9.837e+00 9.340e+00 2.050 2.176 1.491e+00 4.666e-01
1.259e-01 9.597e-02 1.603e-01 2.046e-01 7.743e+00 7.265e+00 2.108 2.191 1.463e+00 4.366e-01
1.413e-01 1.117e-01 1.838e-01 2.266e-01 6.055e+00 5.637e+00 2.164 2.216 1.437e+00 4.083e-01
1.585e-01 1.294e-01 2.097e-01 2.506e-01 4.705e+00 4.360e+00 2.220 2.248 1.411e+00 3.816e-01
1.778e-01 1.494e-01 2.380e-01 2.768e-01 3.632e+00 3.359e+00 2.274 2.284 1.386e+00 3.564e-01
1.995e-01 1.718e-01 2.688e-01 3.053e-01 2.787e+00 2.576e+00 2.326 2.323 1.362e+00 3.326e-01
2.239e-01 1.970e-01 3.021e-01 3.361e-01 2.126e+00 1.967e+00 2.376 2.364 1.338e+00 3.101e-01
2.512e-01 2.253e-01 3.378e-01 3.692e-01 1.613e+00 1.495e+00 2.425 2.405 1.315e+00 2.888e-01
2.818e-01 2.570e-01 3.760e-01 4.046e-01 1.217e+00 1.131e+00 2.471 2.445 1.291e+00 2.688e-01
3.162e-01 2.926e-01 4.166e-01 4.424e-01 9.132e-01 8.514e-01 2.514 2.485 1.267e+00 2.498e-01
3.548e-01 3.325e-01 4.596e-01 4.825e-01 6.820e-01 6.381e-01 2.555 2.524 1.242e+00 2.319e-01
3.981e-01 3.772e-01 5.047e-01 5.249e-01 5.071e-01 4.762e-01 2.594 2.561 1.217e+00 2.150e-01
4.467e-01 4.274e-01 5.521e-01 5.694e-01 3.754e-01 3.538e-01 2.630 2.597 1.192e+00 1.991e-01
5.012e-01 4.838e-01 6.015e-01 6.161e-01 2.768e-01 2.619e-01 2.664 2.632 1.166e+00 1.841e-01
5.623e-01 5.470e-01 6.529e-01 6.648e-01 2.033e-01 1.931e-01 2.692 2.661 1.139e+00 1.700e-01
6.310e-01 6.179e-01 7.061e-01 7.154e-01 1.488e-01 1.419e-01 2.729 2.699 1.112e+00 1.568e-01
7.079e-01 6.976e-01 7.610e-01 7.678e-01 1.086e-01 1.038e-01 2.732 2.703 1.085e+00 1.445e-01
7.943e-01 7.870e-01 8.176e-01 8.220e-01 7.910e-02 7.589e-02 2.816 2.787 1.057e+00 1.330e-01
8.913e-01 8.873e-01 8.756e-01 8.777e-01 5.717e-02 5.501e-02 2.722 2.706 1.028e+00 1.222e-01
1.000e+00 1.000e+00 9.350e-01 9.350e-01 4.243e-02 4.087e-02 2.590 2.581 1.000e+00 1.123e-01
